"","contrast","estimate","conf.low","conf.high","adj.p.value","Variable"
"23","stickeli-meridionalis",0.0633144306692707,0.0398954664851101,0.0867333948534312,9.09290875927837e-09,"HW"
"24","stickeli-picta",0.0380366260997619,0.0150908210774787,0.0609824311220451,0.00027971443358632,"HW"
"25","meridionalis-conjuncta",0.226783919574354,0.190988587809269,0.262579251339439,1.79440906578066e-11,"TibiaL"
"26","picta-conjuncta",-0.178040171126678,-0.212899515141508,-0.143180827111848,1.79450898585287e-11,"TibiaL"
"27","stickeli-conjuncta",0.0640654073362256,0.0181529399223982,0.109977874750053,0.00270366314863968,"TibiaL"
"28","picta-meridionalis",-0.404824090701032,-0.432401562971437,-0.377246618430626,1.79440906578066e-11,"TibiaL"
"29","stickeli-meridionalis",-0.162718512238129,-0.203379276811689,-0.122057747664568,1.79879444672792e-11,"TibiaL"
"30","stickeli-picta",0.242105578462903,0.20226632816024,0.281944828765566,1.79440906578066e-11,"TibiaL"
"31","meridionalis-conjuncta",0.150123845755656,0.130816277302283,0.169431414209029,1.79440906578066e-11,"SVL"
"32","picta-conjuncta",0.18306933357964,0.16426662558344,0.20187204157584,1.79440906578066e-11,"SVL"
"33","stickeli-conjuncta",0.203094076750954,0.178329447852602,0.227858705649306,1.79440906578066e-11,"SVL"
"34","picta-meridionalis",0.0329454878239843,0.0180705332593446,0.047820442388624,1.32675889286116e-06,"SVL"
"35","stickeli-meridionalis",0.0529702309952982,0.0310383070080413,0.0749021549825551,1.74799661412095e-07,"SVL"
"36","stickeli-picta",0.0200247431713139,-0.00146406596720059,0.0415135523098283,0.0763931964537826,"SVL"
"37","meridionalis-conjuncta",0.131881828023704,0.111357694444312,0.152405961603097,1.79440906578066e-11,"FemurL"
"38","picta-conjuncta",0.149387995936572,0.129400533947235,0.169375457925909,1.79440906578066e-11,"FemurL"
"39","stickeli-conjuncta",0.187495410332282,0.161170368275261,0.213820452389303,1.79440906578066e-11,"FemurL"
"40","picta-meridionalis",0.0175061679128676,0.00169394613002985,0.0333183896957054,0.0243882793397217,"FemurL"
"41","stickeli-meridionalis",0.0556135823085775,0.0322997332004107,0.0789274314167443,2.3671060433994e-07,"FemurL"
"42","stickeli-picta",0.0381074143957099,0.0152646006936102,0.0609502280978096,0.000254190708039559,"FemurL"
"43","meridionalis-conjuncta",0.184279547829816,0.1333854850769,0.235173610582732,1.87502235959869e-11,"X3TDW"
"44","picta-conjuncta",-0.0501062474977323,-0.099669516067483,-0.000542978927981608,0.0465915746934926,"X3TDW"
"45","stickeli-conjuncta",0.120185936997843,0.0549072572796197,0.185464616716067,5.11816802772902e-05,"X3TDW"
"46","picta-meridionalis",-0.234385795327548,-0.273595645749044,-0.195175944906052,1.79440906578066e-11,"X3TDW"
"47","stickeli-meridionalis",-0.0640936108319729,-0.121905381298836,-0.00628184036510993,0.0241289018659605,"X3TDW"
"48","stickeli-picta",0.170292184495575,0.113648448987289,0.226935920003862,4.18178602856756e-10,"X3TDW"
"49","meridionalis-conjuncta",-0.0874224467021127,-0.18238378818106,0.0075388947768347,0.0817229606661684,"X3ToeWeb"
"50","picta-conjuncta",0.468332755156751,0.375854493118313,0.560811017195189,1.79450898585287e-11,"X3ToeWeb"
"51","stickeli-conjuncta",0.382466200172041,0.260665136143962,0.504267264200121,1.19250276320315e-10,"X3ToeWeb"
"52","picta-meridionalis",0.555755201858863,0.482594998216037,0.62891540550169,1.79440906578066e-11,"X3ToeWeb"
"53","stickeli-meridionalis",0.469888646874154,0.362019811496264,0.577757482252044,1.79586345794291e-11,"X3ToeWeb"
"54","stickeli-picta",-0.0858665549847093,-0.191555997314352,0.0198228873449339,0.150151775388835,"X3ToeWeb"
